Country.Region,country_uk
Afghanistan,Афганістан
Albania,Албанія
Algeria,Алжир
Andorra,андорра
Angola,Ангола
Antigua and Barbuda,Антигуа і Барбуда
Argentina,Аргентина
Armenia,Вірменія
Australia,Австралія
Austria,Австрія
Azerbaijan,Азербайджан
"Bahamas, The","Bahamas, The"
Bahrain,Бахрейн
Bangladesh,Бангладеш
Barbados,Барбадос
Belarus,Білорусь
Belgium,Бельгія
Benin,Бенін
Bhutan,Бутан
Bolivia,Болівія
Bosnia and Herzegovina,Боснія і Герцеговина
Brazil,Бразилія
Brunei,Бруней
Bulgaria,Болгарія
Burkina Faso,Буркіна-Фасо
Cabo Verde,Кабо-Верде
Cambodia,Камбоджа
Cameroon,Камерун
Canada,Канада
Cape Verde,Кабо-Верде
Central African Republic,Центрально-Африканська Республіка
Chad,Чад
Chile,Чилі
China,Китай
Colombia,Колумбія
Congo (Brazzaville),Конго (Браззавіль)
Congo (Kinshasa),Конго (Кіншаса)
Costa Rica,Коста-Ріка
Cote d'Ivoire,Берег Слонової Кістки
Croatia,Хорватія
Cruise Ship,Круїзний лайнер
Cuba,Куба
Cyprus,Кіпр
Czechia,Чехія
Denmark,Данія
Djibouti,Джібуті
Dominica,Домініка
Dominican Republic,Домініканська республіка
East Timor,східний Тимор
Ecuador,Еквадор
Egypt,Єгипет
El Salvador,Сальвадор
Equatorial Guinea,Екваторіальна Гвінея
Eritrea,Еритрея
Estonia,Естонія
Eswatini,Eswatini
Ethiopia,Ефіопія
Fiji,Фіджі
Finland,Фінляндія
France,Франція
Gabon,Габон
"Gambia, The",Гамбія
Georgia,Грузія
Germany,Німеччина
Ghana,Гана
Greece,Греція
Grenada,Гренада
Guatemala,Гватемала
Guinea,Гвінея
Guyana,Гайана
Haiti,Гаїті
Holy See,папський престол
Honduras,Гондурас
Hungary,Угорщина
Iceland,Ісландія
India,Індія
Indonesia,Індонезія
Iran,Іран
Iraq,Ірак
Ireland,Ірландія
Israel,Ізраїль
Italy,Італія
Jamaica,Ямайка
Japan,Японія
Jordan,Йорданія
Kazakhstan,Казахстан
Kenya,Кенія
"Korea, South",Південна Корея
Kosovo,Косово
Kuwait,Кувейт
Kyrgyzstan,Киргизія
Latvia,Латвія
Lebanon,Ліван
Liberia,Ліберія
Liechtenstein,Ліхтенштейн
Lithuania,Литва
Luxembourg,Люксембург
Madagascar,Мадагаскар
Malaysia,Малайзія
Maldives,Мальдіви
Malta,Мальта
Martinique,Мартинюк
Mauritania,Мавританія
Mauritius,Маврикій
Mexico,Мексика
Moldova,Молдова
Monaco,Монако
Mongolia,Монголія
Montenegro,Чорногорія
Morocco,Марокко
Mozambique,Мозамбік
Namibia,Намібія
Nepal,Непал
Netherlands,Нідерланди
New Zealand,Нова Зеландія
Nicaragua,Нікарагуа
Niger,Нігер
Nigeria,Нігерія
North Macedonia,Північна Македонія
Norway,Норвегія
Oman,Оман
Pakistan,Пакистан
Panama,Панама
Papua New Guinea,Папуа-Нова Гвінея
Paraguay,Парагвай
Peru,Перу
Philippines,Філіппіни
Poland,Польща
Portugal,Португалія
Qatar,Катар
Romania,Румунія
Russia,Росія
Rwanda,Руанда
Saint Lucia,Сент-Люсія
Saint Vincent and the Grenadines,Сент-Вінсент і Гренадіни
San Marino,Сан - Маріно
Saudi Arabia,Саудівська Аравія
Senegal,Сенегал
Serbia,Сербія
Seychelles,Сейшельські острови
Singapore,Сінгапур
Slovakia,Словаччина
Slovenia,Словенія
Somalia,Сомалі
South Africa,Південна Африка
Spain,Іспанія
Sri Lanka,Шрі Ланка
Sudan,Судан
Suriname,Суринам
Sweden,Швеція
Switzerland,Швейцарія
Syria,Сирія
Taiwan*,Тайвань *
Tanzania,Танзанія
Thailand,Таїланд
Timor-Leste,східний Тимор
Togo,Йти
Trinidad and Tobago,Тринідад і Тобаго
Tunisia,Туніс
Turkey,Туреччина
Uganda,Уганда
Ukraine,Україна
United Arab Emirates,Об'єднані Арабські Емірати
United Kingdom,Великобританія
Uruguay,Уругвай
US,США
Uzbekistan,Узбекистан
Venezuela,Венесуела
Vietnam,В'єтнам
Zambia,Замбія
Zimbabwe,Зімбабве
